Time,Idx,PosX,PosY,PosZ,RotX,RotY,RotZ
2018-11-27 16:24:55:25.33,0,0.5731082,0.8279365,-0.3123317,5.649368,177.8281,97.16836
2018-11-27 16:24:55:25.33,1,0.7279313,0.8220567,0.2124128,354.0292,4.275477,322.0793
2018-11-27 16:24:55:25.33,2,0.8200122,0.9653563,-0.1046315,343.9982,111.9243,175.8773
2018-11-27 16:24:55:25.40,0,0.5754681,0.8281311,-0.3138396,5.504849,177.504,97.13906
2018-11-27 16:24:55:25.40,1,0.7266351,0.8212695,0.2110626,354.2222,4.188546,322.0226
2018-11-27 16:24:55:25.40,2,0.8190478,0.965158,-0.1048899,344.0804,111.6395,175.8931
2018-11-27 16:24:55:25.45,0,0.5778422,0.8278574,-0.3144284,5.46064,177.3078,97.04229
2018-11-27 16:24:55:25.45,1,0.7260159,0.8211265,0.2105741,354.3023,4.155122,321.9852
2018-11-27 16:24:55:25.45,2,0.8187395,0.9651014,-0.1048034,344.0585,111.543,175.8944
2018-11-27 16:24:55:25.50,0,0.5783217,0.8275043,-0.3153282,5.402244,177.152,96.86028
2018-11-27 16:24:55:25.50,1,0.7251993,0.8210295,0.2102513,354.3162,4.035749,322.0317
2018-11-27 16:24:55:25.50,2,0.818761,0.9651718,-0.1046126,344.0567,111.4982,175.8783
2018-11-27 16:24:55:25.55,0,0.5786352,0.8271155,-0.3161469,5.37191,176.9833,96.66692
2018-11-27 16:24:55:25.55,1,0.7242197,0.8209006,0.2099032,354.2856,3.989211,322.0499
2018-11-27 16:24:55:25.55,2,0.8177717,0.9651382,-0.1053851,343.976,111.4253,175.8796
2018-11-27 16:24:55:25.59,0,0.5798637,0.826713,-0.3166068,5.344975,176.9074,96.48445
2018-11-27 16:24:55:25.59,1,0.7234606,0.8210752,0.2098455,354.2296,3.910533,322.1306
2018-11-27 16:24:55:25.59,2,0.8171105,0.9651707,-0.1057488,343.7999,111.3951,175.8595
2018-11-27 16:24:55:25.63,0,0.5802273,0.8263242,-0.3170539,5.333732,176.8407,96.39983
