Time,Idx,PosX,PosY,PosZ,RotX,RotY,RotZ
2018-11-27 16:18:28:8.51,0,0.8085561,1.098817,-0.3049055,349.2064,216.4288,148.6111
2018-11-27 16:18:28:8.51,1,0.9729238,0.9919165,0.2460726,26.47293,23.10984,262.0818
2018-11-27 16:18:28:8.51,2,1.155544,1.006968,-0.1549481,347.842,84.06974,190.6561
2018-11-27 16:18:28:8.59,0,0.8085561,1.098817,-0.3049055,349.2064,216.4288,148.6111
2018-11-27 16:18:28:8.59,1,0.9788164,0.9920386,0.2497921,25.85405,22.31789,262.6555
2018-11-27 16:18:28:8.59,2,1.161895,1.007005,-0.151007,349.5518,82.08499,190.5643
2018-11-27 16:18:28:8.64,0,0.8085561,1.098817,-0.3049055,349.2064,216.4288,148.6111
2018-11-27 16:18:28:8.64,1,0.9802365,0.9920023,0.2522461,25.94446,22.29909,262.3354
2018-11-27 16:18:28:8.64,2,1.158892,1.005253,-0.1525505,349.739,82.63143,190.2435
2018-11-27 16:18:28:8.69,0,0.8085561,1.098817,-0.3049055,349.2064,216.4288,148.6111
2018-11-27 16:18:28:8.69,1,0.9799812,0.9916474,0.2544546,25.70163,22.25713,261.75
2018-11-27 16:18:28:8.69,2,1.154586,1.000156,-0.1541017,349.2014,83.75209,189.1445
2018-11-27 16:18:28:8.73,0,0.8085561,1.098817,-0.3049055,349.2064,216.4288,148.6111
2018-11-27 16:18:28:8.73,1,0.9794559,0.992087,0.255309,25.35128,21.94439,261.0605
2018-11-27 16:18:28:8.73,2,1.154125,0.9989496,-0.153138,348.9529,85.20582,187.7301
2018-11-27 16:18:28:8.77,0,0.8085561,1.098817,-0.3049055,349.2064,216.4288,148.6111
2018-11-27 16:18:28:8.77,1,0.9792361,0.994153,0.2528527,25.7824,22.67507,261.3187
2018-11-27 16:18:28:8.77,2,1.154479,1.00134,-0.1487866,349.4751,83.24226,188.2733
2018-11-27 16:18:28:8.81,0,0.8085561,1.098817,-0.3049055,349.2064,216.4288,148.6111
2018-11-27 16:18:28:8.81,1,0.9787823,0.9956332,0.2514059,26.67287,23.35341,261.0139
2018-11-27 16:18:28:8.81,2,1.151317,1.001117,-0.1484123,349.2936,84.00085,188.853
2018-11-27 16:18:28:8.85,0,0.8085561,1.098817,-0.3049055,349.2064,216.4288,148.6111
2018-11-27 16:18:28:8.85,1,0.9766335,0.9948528,0.2540845,26.0844,22.30809,260.8079
2018-11-27 16:18:28:8.85,2,1.148284,1.000129,-0.1494589,348.8013,84.80919,188.6301
2018-11-27 16:18:29:8.90,0,0.8085561,1.098817,-0.3049055,349.2064,216.4288,148.6111
2018-11-27 16:18:29:8.90,1,0.9755242,0.9935973,0.2575751,24.97887,21.8699,261.0952
2018-11-27 16:18:29:8.90,2,1.147408,0.999828,-0.1482089,349.1387,85.11554,188.1756
2018-11-27 16:18:29:8.93,0,0.8085561,1.098817,-0.3049055,349.2064,216.4288,148.6111
2018-11-27 16:18:29:8.93,1,0.9757643,0.992803,0.2590368,24.85453,22.29575,261.2664
2018-11-27 16:18:29:8.93,2,1.1473,1.000224,-0.1460251,349.1227,84.85424,188.1568
2018-11-27 16:18:29:8.98,0,0.8085561,1.098817,-0.3049055,349.2064,216.4288,148.6111
2018-11-27 16:18:29:8.98,1,0.9764314,0.9913588,0.2610745,25.3165,22.87691,261.7845
2018-11-27 16:18:29:8.98,2,1.147779,1.000075,-0.1424801,348.7249,84.00358,188.4123
2018-11-27 16:18:29:9.01,0,0.8085561,1.098817,-0.3049055,349.2064,216.4288,148.6111
2018-11-27 16:18:29:9.01,1,0.9754155,0.9901773,0.2629828,25.04611,22.77932,262.4469
2018-11-27 16:18:29:9.01,2,1.148832,0.9994544,-0.1395491,348.811,83.38878,188.4504
2018-11-27 16:18:29:9.05,0,0.8085561,1.098817,-0.3049055,349.2064,216.4288,148.6111
2018-11-27 16:18:29:9.05,1,0.9706343,0.989081,0.2656978,24.43958,21.74817,263.3033
2018-11-27 16:18:29:9.05,2,1.150614,0.999263,-0.1361554,349.3902,82.71899,188.6362
2018-11-27 16:18:29:9.09,0,0.8085561,1.098817,-0.3049055,349.2064,216.4288,148.6111
2018-11-27 16:18:29:9.09,1,0.9635672,0.9892906,0.2679746,24.68063,20.05578,263.2844
2018-11-27 16:18:29:9.09,2,1.15161,0.999419,-0.1342418,349.2715,82.18533,189.1444
2018-11-27 16:18:29:9.13,0,0.8085561,1.098817,-0.3049055,349.2064,216.4288,148.6111
2018-11-27 16:18:29:9.13,1,0.9511099,0.9918132,0.2710257,24.30728,17.57338,262.1254
2018-11-27 16:18:29:9.13,2,1.153421,0.9979115,-0.1323397,348.8539,81.38899,189.9241
2018-11-27 16:18:29:9.17,0,0.8085561,1.098817,-0.3049055,349.2064,216.4288,148.6111
