Time,Idx,PosX,PosY,PosZ,RotX,RotY,RotZ
2018-11-27 16:21:56:29.87,0,0.3997853,1.006857,-0.327728,42.40805,189.3414,135.5861
2018-11-27 16:21:56:29.87,1,0.5219326,0.9891248,0.0710113,7.979676,341.7456,263.8087
2018-11-27 16:21:56:29.87,2,0.9015322,0.9849098,-0.1651466,327.6341,109.5546,179.425
2018-11-27 16:21:56:29.95,0,0.4020345,1.018243,-0.2908427,36.30609,200.0999,138.2714
2018-11-27 16:21:56:29.95,1,0.4958276,0.9848711,0.03827286,16.83884,334.0453,266.1923
2018-11-27 16:21:56:29.95,2,0.907741,0.9852047,-0.1574294,327.108,108.8341,180.7409
2018-11-27 16:21:56:29.99,0,0.4039369,1.022,-0.272616,33.04831,205.142,139.3803
2018-11-27 16:21:56:29.99,1,0.4897634,0.9743934,0.02717859,29.20478,333.6122,267.7814
2018-11-27 16:21:56:29.99,2,0.9105111,0.9850489,-0.1516946,327.7714,107.4282,180.6161
2018-11-27 16:21:56:30.04,0,0.4077368,1.026168,-0.256311,27.80124,210.5894,140.3734
2018-11-27 16:21:56:30.04,1,0.4938327,0.9664754,0.01853466,43.55283,338.7462,270.1084
2018-11-27 16:21:56:30.04,2,0.9140501,0.9852588,-0.1448987,328.1192,106.0121,180.6532
2018-11-27 16:21:56:30.09,0,0.4031403,1.031882,-0.2432137,19.96264,217.1451,142.1948
2018-11-27 16:21:56:30.09,1,0.4997531,0.9625883,0.01426834,54.77336,348.2885,277.0684
2018-11-27 16:21:56:30.09,2,0.9162875,0.985048,-0.1383801,327.7452,104.6682,180.467
2018-11-27 16:21:56:30.14,0,0.3971114,1.033987,-0.2352172,13.94794,221.3487,142.5705
2018-11-27 16:21:56:30.14,1,0.500815,0.9626277,0.01573652,56.5932,352.4525,280.7562
2018-11-27 16:21:56:30.14,2,0.9176428,0.9847393,-0.1341818,327.7678,103.7736,180.3857
2018-11-27 16:21:56:30.18,0,0.3908155,1.032371,-0.2299734,11.21766,224.155,142.4484
2018-11-27 16:21:56:30.18,1,0.5007176,0.965659,0.02072662,54.8521,352.4451,280.4098
2018-11-27 16:21:56:30.18,2,0.9192317,0.9846436,-0.130842,327.525,103.3749,180.3273
2018-11-27 16:21:56:30.22,0,0.3995335,1.028468,-0.2226363,10.07069,225.4129,142.3996
2018-11-27 16:21:56:30.22,1,0.5007808,0.9667361,0.02630132,54.27958,350.0519,277.5733
2018-11-27 16:21:56:30.22,2,0.920439,0.9845225,-0.1285036,327.3419,102.9889,180.1288
2018-11-27 16:21:56:30.26,0,0.414731,1.0259,-0.2120785,7.998964,226.8544,142.8894
2018-11-27 16:21:56:30.26,1,0.5035275,0.9665655,0.03148216,57.2886,353.3007,279.327
2018-11-27 16:21:56:30.26,2,0.922155,0.9847475,-0.1256142,326.9916,102.4879,179.9012
2018-11-27 16:21:56:30.31,0,0.4223379,1.025089,-0.2033193,4.591068,230.1038,142.8074
2018-11-27 16:21:56:30.31,1,0.5057428,0.9668916,0.0366841,59.94222,359.2028,283.1286
2018-11-27 16:21:56:30.31,2,0.924796,0.9850537,-0.1229922,326.5605,102.0339,179.4018
