Time,Idx,PosX,PosY,PosZ,RotX,RotY,RotZ
2018-11-27 16:12:08:112.45,0,1.363285,0.6542944,-2.256418,352.1339,199.7896,145.9738
2018-11-27 16:12:08:112.45,1,0.8457332,0.8380141,0.1391958,0.3342904,3.972424,317.9386
2018-11-27 16:12:08:112.45,2,1.254607,0.9711543,-0.1871201,23.75299,201.3669,162.2604
2018-11-27 16:12:08:112.51,0,1.363285,0.6542944,-2.256418,352.1339,199.7896,145.9738
2018-11-27 16:12:08:112.51,1,0.8443414,0.8368616,0.1366529,0.3352892,3.416628,318.1999
2018-11-27 16:12:08:112.51,2,1.254607,0.9711543,-0.1871201,23.75299,201.3669,162.2604
2018-11-27 16:12:08:112.56,0,1.363285,0.6542944,-2.256418,352.1339,199.7896,145.9738
2018-11-27 16:12:08:112.56,1,0.8434138,0.8362523,0.1353748,0.4619465,2.912111,318.3286
2018-11-27 16:12:08:112.56,2,1.254607,0.9711543,-0.1871201,23.75299,201.3669,162.2604
2018-11-27 16:12:08:112.60,0,1.363285,0.6542944,-2.256418,352.1339,199.7896,145.9738
2018-11-27 16:12:08:112.60,1,0.8427464,0.8362783,0.135084,0.529971,2.46124,318.3833
2018-11-27 16:12:08:112.60,2,1.254607,0.9711543,-0.1871201,23.75299,201.3669,162.2604
2018-11-27 16:12:08:112.64,0,1.363285,0.6542944,-2.256418,352.1339,199.7896,145.9738
2018-11-27 16:12:08:112.64,1,0.8422954,0.836697,0.1355209,0.4821222,1.958886,318.3684
2018-11-27 16:12:08:112.64,2,1.254607,0.9711543,-0.1871201,23.75299,201.3669,162.2604
2018-11-27 16:12:08:112.68,0,1.363285,0.6542944,-2.256418,352.1339,199.7896,145.9738
2018-11-27 16:12:08:112.68,1,0.842061,0.8371584,0.1363346,0.4097994,1.723181,318.2234
2018-11-27 16:12:08:112.68,2,1.254607,0.9711543,-0.1871201,23.75299,201.3669,162.2604
2018-11-27 16:12:08:112.72,0,1.363285,0.6542944,-2.256418,352.1339,199.7896,145.9738
2018-11-27 16:12:08:112.72,1,0.8419484,0.8377163,0.1382206,0.3118823,1.831262,317.9706
