Time,Idx,PosX,PosY,PosZ,RotX,RotY,RotZ
2018-11-27 15:37:00:321.89,0,-1.069259,0.7302664,-0.6261026,284.1701,42.15201,137.4731
2018-11-27 15:37:00:321.89,1,0,0,0,0,0,0
2018-11-27 15:37:00:321.89,2,0,0,0,0,0,0
2018-11-27 15:37:00:321.95,0,-1.069485,0.7303023,-0.6261947,284.165,42.16131,137.4613
2018-11-27 15:37:00:321.95,1,0,0,0,0,0,0
2018-11-27 15:37:00:321.95,2,0,0,0,0,0,0
2018-11-27 15:37:00:321.99,0,-1.069363,0.7303285,-0.6261117,284.1612,42.1559,137.468
2018-11-27 15:37:00:321.99,1,0,0,0,0,0,0
2018-11-27 15:37:00:321.99,2,0,0,0,0,0,0
2018-11-27 15:37:00:322.03,0,-1.069435,0.7303292,-0.6261459,284.1638,42.20518,137.4194
2018-11-27 15:37:00:322.03,1,0,0,0,0,0,0
2018-11-27 15:37:00:322.03,2,0,0,0,0,0,0
2018-11-27 15:37:00:322.07,0,-1.069471,0.730334,-0.6261606,284.1617,42.17825,137.4418
2018-11-27 15:37:00:322.07,1,0,0,0,0,0,0
2018-11-27 15:37:00:322.07,2,0,0,0,0,0,0
2018-11-27 15:37:00:322.11,0,-1.069659,0.7303086,-0.6261835,284.1562,42.17804,137.4407
2018-11-27 15:37:00:322.11,1,0,0,0,0,0,0
2018-11-27 15:37:00:322.11,2,0,0,0,0,0,0
2018-11-27 15:37:00:322.15,0,-1.069708,0.7302988,-0.6261955,284.1527,42.18062,137.4435
2018-11-27 15:37:00:322.15,1,0,0,0,0,0,0
2018-11-27 15:37:00:322.15,2,0,0,0,0,0,0
2018-11-27 15:37:00:322.19,0,-1.069465,0.7303023,-0.6261469,284.1615,42.17532,137.45
2018-11-27 15:37:00:322.19,1,0,0,0,0,0,0
2018-11-27 15:37:00:322.19,2,0,0,0,0,0,0
2018-11-27 15:37:00:322.23,0,-1.069515,0.7303096,-0.6261709,284.157,42.17119,137.4513
2018-11-27 15:37:00:322.23,1,0,0,0,0,0,0
2018-11-27 15:37:00:322.23,2,0,0,0,0,0,0
2018-11-27 15:37:00:322.27,0,-1.069573,0.7303314,-0.6262175,284.1611,42.19638,137.4289
2018-11-27 15:37:00:322.27,1,0,0,0,0,0,0
2018-11-27 15:37:00:322.27,2,0,0,0,0,0,0
2018-11-27 15:37:00:322.31,0,-1.069815,0.7303268,-0.626342,284.1544,42.18456,137.4402
2018-11-27 15:37:00:322.31,1,0,0,0,0,0,0
2018-11-27 15:37:00:322.31,2,0,0,0,0,0,0
2018-11-27 15:37:00:322.35,0,-1.069767,0.7303134,-0.6262689,284.1494,42.16309,137.4617
2018-11-27 15:37:00:322.35,1,0,0,0,0,0,0
2018-11-27 15:37:00:322.35,2,0,0,0,0,0,0
2018-11-27 15:37:01:322.39,0,-1.069539,0.7302938,-0.626192,284.154,42.1851,137.4447
2018-11-27 15:37:01:322.39,1,0,0,0,0,0,0
2018-11-27 15:37:01:322.39,2,0,0,0,0,0,0
2018-11-27 15:37:01:322.43,0,-1.069521,0.7302929,-0.6261697,284.1487,42.16772,137.46
2018-11-27 15:37:01:322.43,1,0,0,0,0,0,0
2018-11-27 15:37:01:322.43,2,0,0,0,0,0,0
2018-11-27 15:37:01:322.47,0,-1.0695,0.730283,-0.6261699,284.1591,42.19968,137.4269
2018-11-27 15:37:01:322.47,1,0,0,0,0,0,0
2018-11-27 15:37:01:322.47,2,0,0,0,0,0,0
2018-11-27 15:37:01:322.51,0,-1.069464,0.7304332,-0.6261261,284.1602,42.17709,137.4451
2018-11-27 15:37:01:322.51,1,0,0,0,0,0,0
2018-11-27 15:37:01:322.51,2,0,0,0,0,0,0
2018-11-27 15:37:01:322.55,0,-1.06943,0.7302591,-0.6261298,284.1549,42.17602,137.4419
2018-11-27 15:37:01:322.55,1,0,0,0,0,0,0
2018-11-27 15:37:01:322.55,2,0,0,0,0,0,0
2018-11-27 15:37:01:322.59,0,-1.069398,0.7302707,-0.6261076,284.1614,42.18604,137.4391
2018-11-27 15:37:01:322.59,1,0,0,0,0,0,0
2018-11-27 15:37:01:322.59,2,0,0,0,0,0,0
2018-11-27 15:37:01:322.63,0,-1.069336,0.7302792,-0.6260893,284.1544,42.1773,137.4483
2018-11-27 15:37:01:322.63,1,0,0,0,0,0,0
2018-11-27 15:37:01:322.63,2,0,0,0,0,0,0
2018-11-27 15:37:01:322.67,0,-1.069323,0.7302476,-0.6260532,284.1493,42.18775,137.4401
2018-11-27 15:37:01:322.67,1,0,0,0,0,0,0
