Time,Idx,PosX,PosY,PosZ,RotX,RotY,RotZ
2018-11-27 14:56:26:29.16,1,-1.292035,0.7757492,-0.5924857,89.62051,124.4029,125.5669
2018-11-27 14:56:26:29.16,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:26:29.19,0,-1.087223,0.758302,-0.6268645,282.3123,35.77719,145.1244
2018-11-27 14:56:26:29.19,1,-1.291973,0.7757335,-0.5924321,89.61335,125.0078,126.1694
2018-11-27 14:56:26:29.19,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:26:29.23,0,-1.087157,0.7583685,-0.6268616,282.3168,35.82144,145.0751
2018-11-27 14:56:26:29.23,1,-1.292012,0.7757661,-0.5924322,89.61539,124.9682,126.1305
2018-11-27 14:56:26:29.23,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:26:29.27,0,-1.087298,0.7583579,-0.6269196,282.3111,35.85762,145.0373
2018-11-27 14:56:26:29.27,1,-1.292005,0.7757008,-0.5924183,89.6257,123.066,124.2138
2018-11-27 14:56:26:29.27,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:26:29.32,0,-1.087342,0.7583253,-0.6269565,282.3044,35.78662,145.1092
2018-11-27 14:56:26:29.32,1,-1.291985,0.7757468,-0.5924414,89.62885,122.5063,123.665
2018-11-27 14:56:26:29.32,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:26:29.36,0,-1.087258,0.7582929,-0.6269383,282.3179,35.86721,145.0298
2018-11-27 14:56:26:29.36,1,-1.292073,0.775766,-0.5924528,89.61134,121.9453,123.1236
2018-11-27 14:56:26:29.36,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:26:29.40,0,-1.087221,0.7583631,-0.626929,282.3033,35.76474,145.1282
2018-11-27 14:56:26:29.40,1,-1.2921,0.7757918,-0.5923852,89.61488,124.1195,125.2779
2018-11-27 14:56:26:29.40,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:26:29.44,0,-1.087222,0.7583878,-0.6269148,282.3198,35.88758,145.0137
2018-11-27 14:56:26:29.44,1,-1.291929,0.7757915,-0.5924186,89.61845,123.9783,125.1471
2018-11-27 14:56:26:29.44,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:26:29.47,0,-1.087342,0.7583308,-0.6269091,282.2961,35.76201,145.1394
2018-11-27 14:56:26:29.47,1,-1.291969,0.775722,-0.592426,89.62466,121.6071,122.7608
2018-11-27 14:56:26:29.47,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:26:29.52,0,-1.087337,0.7583125,-0.626992,282.3033,35.87616,145.0197
2018-11-27 14:56:26:29.52,1,-1.292049,0.7757157,-0.5924316,89.62413,122.2586,123.4134
2018-11-27 14:56:26:29.52,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:26:29.56,0,-1.087316,0.7583127,-0.6269646,282.2943,35.80334,145.0972
2018-11-27 14:56:26:29.56,1,-1.292191,0.7757725,-0.5925615,89.61794,121.6332,122.8074
2018-11-27 14:56:26:29.56,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:26:29.60,0,-1.087306,0.7583123,-0.6269353,282.3141,35.91517,144.9842
2018-11-27 14:56:26:29.60,1,-1.292112,0.775754,-0.5925556,89.61742,121.1746,122.3591
2018-11-27 14:56:26:29.60,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:26:29.64,0,-1.087225,0.7584012,-0.6269231,282.2964,35.77104,145.1224
2018-11-27 14:56:26:29.64,1,-1.292079,0.7758331,-0.5924439,89.61589,122.7444,123.9233
2018-11-27 14:56:26:29.64,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:26:29.67,0,-1.087158,0.7582539,-0.6269264,282.3103,35.89926,144.9988
2018-11-27 14:56:26:29.67,1,-1.292053,0.7757853,-0.5924854,89.61897,122.0381,123.2333
2018-11-27 14:56:26:29.67,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:26:29.71,0,-1.087157,0.7582524,-0.6269228,282.2998,35.77091,145.1247
2018-11-27 14:56:26:29.71,1,-1.292013,0.775712,-0.592409,89.61742,120.7773,121.9569
2018-11-27 14:56:26:29.71,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:26:29.76,0,-1.087029,0.7583002,-0.6268678,282.3185,35.87908,145.0246
2018-11-27 14:56:26:29.76,1,-1.292048,0.7757915,-0.5924919,89.61692,121.0589,122.2466
2018-11-27 14:56:26:29.76,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:26:29.79,0,-1.087029,0.7582508,-0.6268478,282.3058,35.80448,145.1001
2018-11-27 14:56:26:29.79,1,-1.292093,0.7757735,-0.5924643,89.61234,121.2026,122.3924
2018-11-27 14:56:26:29.79,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:26:29.83,0,-1.087001,0.7582324,-0.6268471,282.3169,35.90416,145.0008
2018-11-27 14:56:26:29.83,1,-1.292031,0.7757652,-0.59239,89.61084,120.9886,122.1751
2018-11-27 14:56:26:29.83,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:26:29.87,0,-1.086987,0.7582147,-0.6268201,282.3095,35.86653,145.0422
2018-11-27 14:56:26:29.87,1,-1.2921,0.7757868,-0.5924175,89.61185,121.2637,122.4441
2018-11-27 14:56:26:29.87,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:29.91,0,-1.087078,0.7582904,-0.6268933,282.3071,35.88176,145.0186
2018-11-27 14:56:27:29.91,1,-1.292052,0.7757494,-0.5924434,89.62154,120.2569,121.4333
2018-11-27 14:56:27:29.91,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:29.95,0,-1.08713,0.7582739,-0.6268705,282.3053,35.86252,145.0443
2018-11-27 14:56:27:29.95,1,-1.292247,0.775809,-0.5925184,89.62103,120.1699,121.3463
2018-11-27 14:56:27:29.95,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:29.99,0,-1.087087,0.7583205,-0.6268658,282.3101,35.84536,145.0583
2018-11-27 14:56:27:29.99,1,-1.29236,0.7758864,-0.5926656,89.60983,119.8132,121.0009
2018-11-27 14:56:27:29.99,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.03,0,-1.087066,0.7583817,-0.6268633,282.314,35.85177,145.0514
2018-11-27 14:56:27:30.03,1,-1.292303,0.7758903,-0.5926626,89.61692,121.504,122.6949
2018-11-27 14:56:27:30.03,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.07,0,-1.087061,0.7583277,-0.6268591,282.3034,35.82455,145.0771
2018-11-27 14:56:27:30.07,1,-1.29208,0.7758138,-0.5926645,89.61845,120.1655,121.3854
2018-11-27 14:56:27:30.07,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.11,0,-1.087257,0.7583342,-0.6269358,282.3079,35.83639,145.0688
2018-11-27 14:56:27:30.11,1,-1.292426,0.775981,-0.5925784,89.56886,121.8591,123.1117
2018-11-27 14:56:27:30.11,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.15,0,-1.087292,0.7582934,-0.6269402,282.303,35.86018,145.0466
2018-11-27 14:56:27:30.15,1,-1.292099,0.7759248,-0.5930334,89.58836,121.3697,122.7048
2018-11-27 14:56:27:30.15,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.19,0,-1.087204,0.7582216,-0.6268929,282.3115,35.8044,145.1009
2018-11-27 14:56:27:30.19,1,-1.294429,0.7740698,-0.596243,88.58114,276.6336,277.6136
2018-11-27 14:56:27:30.19,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.23,0,-1.087201,0.7582729,-0.626905,282.3064,35.85204,145.05
2018-11-27 14:56:27:30.23,1,-1.296498,0.7784691,-0.597981,88.5354,269.2379,270.3136
2018-11-27 14:56:27:30.23,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.27,0,-1.08719,0.7582909,-0.6269172,282.3041,35.78913,145.1183
2018-11-27 14:56:27:30.27,1,-1.303069,0.7852899,-0.605553,88.46699,258.713,259.9564
2018-11-27 14:56:27:30.27,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.31,0,-1.087287,0.7583249,-0.626946,282.3079,35.90783,145.0048
2018-11-27 14:56:27:30.31,1,-1.311959,0.7860259,-0.6092463,88.42356,248.6476,251.705
2018-11-27 14:56:27:30.31,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.35,0,-1.087254,0.7583344,-0.6269235,282.3026,35.86285,145.0531
2018-11-27 14:56:27:30.35,1,-1.316174,0.7855617,-0.6080717,88.51708,250.0302,251.2061
2018-11-27 14:56:27:30.35,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.39,0,-1.087222,0.7582757,-0.6269091,282.3222,35.88977,145.0088
2018-11-27 14:56:27:30.39,1,-1.323363,0.7883836,-0.6085586,89.46186,83.4411,83.17695
2018-11-27 14:56:27:30.39,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.43,0,-1.087272,0.7582767,-0.6269035,282.2957,35.73944,145.1554
2018-11-27 14:56:27:30.43,1,-1.334328,0.793596,-0.6147898,85.31178,89.61731,87.35825
2018-11-27 14:56:27:30.43,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.47,0,-1.087255,0.7583491,-0.6268842,282.3202,35.88662,145.0314
2018-11-27 14:56:27:30.47,1,-1.34964,0.815412,-0.621693,86.03681,113.5979,113.0434
2018-11-27 14:56:27:30.47,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.51,0,-1.087226,0.7583359,-0.6269272,282.3102,35.83086,145.0828
2018-11-27 14:56:27:30.51,1,-1.360794,0.8278282,-0.6212373,85.59496,155.2174,156.0192
2018-11-27 14:56:27:30.51,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.55,0,-1.087357,0.7583121,-0.6269258,282.3091,35.85913,145.0317
2018-11-27 14:56:27:30.55,1,-1.375581,0.8491812,-0.6202752,82.79745,159.8161,159.5772
2018-11-27 14:56:27:30.55,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.59,0,-1.087412,0.7583123,-0.6269317,282.2925,35.74409,145.1615
2018-11-27 14:56:27:30.59,1,-1.358877,0.8596536,-0.6031156,80.33305,158.2055,160.0502
2018-11-27 14:56:27:30.59,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.63,0,-1.08726,0.7584584,-0.6269098,282.3235,36.06867,144.8613
2018-11-27 14:56:27:30.63,1,-1.347061,0.8843538,-0.5888631,77.69837,164.112,168.5041
2018-11-27 14:56:27:30.63,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.67,0,-1.087309,0.7582973,-0.6269298,282.3288,36.07252,144.8577
2018-11-27 14:56:27:30.67,1,-1.344459,0.9039428,-0.579504,74.53941,159.8392,164.9894
2018-11-27 14:56:27:30.67,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.71,0,-1.087295,0.7581801,-0.6269276,282.3266,36.0651,144.8649
2018-11-27 14:56:27:30.71,1,-1.35364,0.9322441,-0.5725021,70.08724,157.8559,164.0388
2018-11-27 14:56:27:30.71,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.75,0,-1.087259,0.7582113,-0.6269315,282.3366,36.14547,144.7854
2018-11-27 14:56:27:30.75,1,-1.35005,0.9580377,-0.5566054,66.34906,157.363,163.9875
2018-11-27 14:56:27:30.75,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.79,0,-1.087194,0.7582718,-0.6269078,282.3086,35.97863,144.9544
2018-11-27 14:56:27:30.79,1,-1.348774,0.9767407,-0.5443407,63.55981,154.616,162.3974
2018-11-27 14:56:27:30.79,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.83,0,-1.087095,0.7583436,-0.6268918,282.3304,36.10882,144.8178
2018-11-27 14:56:27:30.83,1,-1.34723,0.9981356,-0.5307513,60.5985,152.6814,161.3268
2018-11-27 14:56:27:30.83,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:27:30.87,0,-1.087082,0.7583545,-0.6269009,282.3083,35.94691,144.9771
2018-11-27 14:56:27:30.87,1,-1.348268,1.008313,-0.5229989,58.90312,152.5945,161.478
2018-11-27 14:56:27:30.87,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:30.91,0,-1.087088,0.7584037,-0.6268569,282.324,36.0435,144.8816
2018-11-27 14:56:28:30.91,1,-1.358131,1.01728,-0.5230718,57.33415,150.4333,160.1979
2018-11-27 14:56:28:30.91,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:30.95,0,-1.087115,0.7584116,-0.6268212,282.3193,36.05162,144.8773
2018-11-27 14:56:28:30.95,1,-1.360424,1.021432,-0.521501,56.80307,149.631,159.3744
2018-11-27 14:56:28:30.95,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:30.99,0,-1.087147,0.7582833,-0.6268845,282.3181,36.05485,144.8681
2018-11-27 14:56:28:30.99,1,-1.35182,1.022794,-0.5139933,56.461,149.8085,159.5548
2018-11-27 14:56:28:30.99,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
2018-11-27 14:56:28:31.03,0,-1.087156,0.7583029,-0.6268818,282.3128,36.036,144.8899
2018-11-27 14:56:28:31.03,1,-1.348848,1.016326,-0.5175925,57.26205,150.3801,159.5654
2018-11-27 14:56:28:31.03,2,-1.188841,0.7330816,-0.6095421,271.4978,70.82115,129.797
