Time,Idx,PosX,PosY,PosZ,RotX,RotY,RotZ
2018-11-27 16:23:25:40.51,0,0.4723687,0.8830855,-0.2789561,8.637393,183.9459,114.1912
2018-11-27 16:23:25:40.51,1,0.8332435,0.8379465,0.2300662,337.7903,343.1789,333.0818
2018-11-27 16:23:25:40.51,2,0.8430462,0.9675756,-0.1068141,344.7014,120.4913,175.5235
2018-11-27 16:23:25:40.60,0,0.4840502,0.8815684,-0.279862,9.194476,183.2604,114.312
2018-11-27 16:23:25:40.60,1,0.8196692,0.8367885,0.2280332,338.0595,342.4871,331.9521
2018-11-27 16:23:25:40.60,2,0.8452357,0.9679091,-0.1034129,345.1509,118.4194,175.3378
2018-11-27 16:23:25:40.65,0,0.4992121,0.8787391,-0.2815755,9.435243,182.225,113.8106
2018-11-27 16:23:25:40.65,1,0.8046329,0.8371744,0.2287685,337.9762,340.5394,330.9039
2018-11-27 16:23:25:40.65,2,0.8480939,0.9681242,-0.09987468,344.6436,116.3796,175.2323
2018-11-27 16:23:25:40.69,0,0.5142462,0.8757144,-0.2835343,10.08121,180.8902,113.365
2018-11-27 16:23:25:40.69,1,0.7904134,0.8383465,0.2300889,337.8777,338.6922,329.9781
2018-11-27 16:23:25:40.69,2,0.8507607,0.9685736,-0.09660202,344.3303,114.3804,175.3046
2018-11-27 16:23:25:40.74,0,0.5313388,0.8719965,-0.2867487,10.77371,179.6058,112.9579
2018-11-27 16:23:25:40.74,1,0.7750764,0.840503,0.2319503,337.5326,336.3593,329.1951
2018-11-27 16:23:25:40.74,2,0.8527182,0.9686741,-0.09403247,343.9412,112.6129,175.5339
2018-11-27 16:23:25:40.78,0,0.5490342,0.8675848,-0.2916482,11.34563,177.914,112.4419
2018-11-27 16:23:25:40.78,1,0.7592182,0.8433056,0.2342125,336.9911,333.9576,328.336
2018-11-27 16:23:25:40.78,2,0.8543969,0.9685268,-0.09184819,343.4307,111.1715,175.7158
2018-11-27 16:23:25:40.82,0,0.56932,0.8627303,-0.2971151,11.6493,175.7623,111.4959
2018-11-27 16:23:25:40.82,1,0.7428389,0.8466989,0.236438,336.2303,331.8976,327.3836
2018-11-27 16:23:25:40.82,2,0.8550898,0.9687318,-0.09058267,343.3995,110.2741,175.8859
2018-11-27 16:23:26:40.86,0,0.583002,0.8591256,-0.3016079,11.43811,174.5514,110.6472
